Dates,Volume
7/6/02,371361
11/6/02,373195
12/6/02,411376
13/6/02,358000
14/6/02,333721
17/6/02,259869
18/6/02,404988
19/6/02,336103
20/6/02,458604
21/6/02,338479
24/6/02,378712
25/6/02,500629
26/6/02,412152
27/6/02,375422
28/6/02,959726
1/7/02,290585
2/7/02,397613
3/7/02,360303
4/7/02,343140
5/7/02,316074
8/7/02,292011
9/7/02,351675
10/7/02,350060
11/7/02,310453
12/7/02,261904
15/7/02,314762
16/7/02,344889
17/7/02,394082
18/7/02,398554
19/7/02,410530
22/7/02,346885
23/7/02,480455
24/7/02,438364
25/7/02,508934
26/7/02,486889
29/7/02,344121
30/7/02,435933
31/7/02,386369
1/8/02,393255
2/8/02,279843
5/8/02,159600
6/8/02,347051
7/8/02,348981
8/8/02,355301
9/8/02,315348
12/8/02,236636
13/8/02,306175
14/8/02,303997
15/8/02,368853
16/8/02,377224
19/8/02,234011
20/8/02,340354
21/8/02,277196
22/8/02,324673
23/8/02,428851
26/8/02,325465
27/8/02,401409
28/8/02,374561
29/8/02,353941
30/8/02,696263
2/9/02,269707
3/9/02,286313
4/9/02,424065
5/9/02,409876
6/9/02,364392
9/9/02,237577
10/9/02,300339
11/9/02,304805
12/9/02,473029
13/9/02,463395
16/9/02,322146
17/9/02,526373
18/9/02,366699
19/9/02,391008
20/9/02,333359
23/9/02,304465
24/9/02,335725
25/9/02,401071
26/9/02,398667
27/9/02,478210
30/9/02,556632
1/10/02,419935
2/10/02,414157
3/10/02,365762
4/10/02,315702
7/10/02,156898
8/10/02,275950
9/10/02,344173
10/10/02,413115
11/10/02,356693
14/10/02,275676
15/10/02,360224
16/10/02,490750
17/10/02,404518
18/10/02,552548
21/10/02,255675
22/10/02,353429
23/10/02,404396
24/10/02,340725
25/10/02,393724
28/10/02,281396
29/10/02,355593
30/10/02,394122
31/10/02,393199
1/11/02,308800
4/11/02,268241
5/11/02,289203
6/11/02,351872
7/11/02,281857
8/11/02,438439
11/11/02,357424
12/11/02,499858
13/11/02,422534
14/11/02,393995
15/11/02,270263
18/11/02,278331
19/11/02,323165
20/11/02,315734
21/11/02,600286
22/11/02,514528
25/11/02,332269
26/11/02,460041
27/11/02,385979
28/11/02,378947
29/11/02,594075
2/12/02,313077
3/12/02,424705
4/12/02,349378
5/12/02,290612
6/12/02,243643
9/12/02,291265
10/12/02,351790
11/12/02,454210
12/12/02,305989
13/12/02,540717
16/12/02,275837
17/12/02,363277
18/12/02,454621
19/12/02,571639
20/12/02,462446
23/12/02,183375
24/12/02,110772
27/12/02,55375
30/12/02,114747
31/12/02,122034
2/1/03,104381
3/1/03,171275
6/1/03,255211
7/1/03,302352
8/1/03,524777
9/1/03,339421
10/1/03,261359
13/1/03,279990
14/1/03,363590
15/1/03,413109
16/1/03,356119
17/1/03,323803
20/1/03,355317
21/1/03,393327
22/1/03,432266
23/1/03,428489
24/1/03,359017
28/1/03,398508
29/1/03,381757
30/1/03,300900
31/1/03,415107
3/2/03,251591
4/2/03,308513
5/2/03,366010
6/2/03,451517
7/2/03,414623
10/2/03,301932
11/2/03,354136
12/2/03,467863
13/2/03,496268
14/2/03,368164
17/2/03,242345
18/2/03,399168
19/2/03,406867
20/2/03,508444
21/2/03,395425
24/2/03,317958
25/2/03,416234
26/2/03,362484
27/2/03,485908
28/2/03,574400
3/3/03,267656
4/3/03,355420
5/3/03,379296
6/3/03,337473
7/3/03,297000
10/3/03,232700
11/3/03,382640
12/3/03,420735
13/3/03,409051
14/3/03,461774
17/3/03,344076
18/3/03,741636
19/3/03,413354
20/3/03,362766
21/3/03,522309
24/3/03,414271
25/3/03,378378
26/3/03,405165
27/3/03,528330
28/3/03,871094
31/3/03,1077096
1/4/03,438757
2/4/03,426197
3/4/03,484181
4/4/03,392335
7/4/03,425489
8/4/03,616881
9/4/03,406672
10/4/03,470722
11/4/03,403279
14/4/03,378658
15/4/03,425141
16/4/03,397431
17/4/03,281037
22/4/03,256388
23/4/03,284859
24/4/03,562351
28/4/03,398343
29/4/03,437019
30/4/03,469105
1/5/03,393858
2/5/03,344679
5/5/03,400468
6/5/03,463069
7/5/03,493827
8/5/03,461451
9/5/03,382255
12/5/03,385588
13/5/03,455449
14/5/03,430676
15/5/03,544622
16/5/03,391715
19/5/03,415270
20/5/03,441494
21/5/03,387856
22/5/03,553533
23/5/03,499968
26/5/03,398568
27/5/03,447203
28/5/03,577546
29/5/03,603462
30/5/03,695951
2/6/03,346421
3/6/03,535005
4/6/03,428056
5/6/03,521923
6/6/03,396132
10/6/03,621433
11/6/03,499323
12/6/03,901006
13/6/03,484658
16/6/03,526195
17/6/03,638648
18/6/03,533529
19/6/03,631952
20/6/03,455082
23/6/03,424092
24/6/03,404768
25/6/03,432195
26/6/03,464327
27/6/03,568556
30/6/03,356128
1/7/03,488745
2/7/03,450661
3/7/03,376672
4/7/03,319589
7/7/03,293236
8/7/03,640143
9/7/03,395713
10/7/03,436406
11/7/03,435659
14/7/03,278579
15/7/03,430170
16/7/03,473327
17/7/03,417672
18/7/03,345182
21/7/03,275497
22/7/03,331127
23/7/03,396544
24/7/03,397331
25/7/03,499682
28/7/03,372308
29/7/03,482149
30/7/03,439532
31/7/03,521638
1/8/03,357523
4/8/03,147754
5/8/03,381022
6/8/03,391996
7/8/03,479925
8/8/03,323860
11/8/03,331210
12/8/03,424254
13/8/03,411103
14/8/03,457739
15/8/03,395667
18/8/03,292059
19/8/03,452549
20/8/03,450895
21/8/03,514405
22/8/03,501134
25/8/03,341964
26/8/03,473976
27/8/03,443970
28/8/03,708396
29/8/03,844092
1/9/03,493972
2/9/03,645188
3/9/03,573607
4/9/03,542307
5/9/03,410242
8/9/03,362008
9/9/03,377904
10/9/03,478139
11/9/03,508260
12/9/03,368432
15/9/03,320903
16/9/03,384415
17/9/03,379028
18/9/03,598452
19/9/03,531011
22/9/03,370879
23/9/03,385715
24/9/03,482765
25/9/03,580522
26/9/03,532648
29/9/03,241031
30/9/03,556837
1/10/03,577436
2/10/03,483983
3/10/03,399610
6/10/03,173334
7/10/03,321774
8/10/03,459617
9/10/03,370595
10/10/03,361825
13/10/03,346347
14/10/03,453643
15/10/03,419140
16/10/03,439804
17/10/03,346765
20/10/03,329933
21/10/03,382602
22/10/03,353350
23/10/03,506683
24/10/03,317528
27/10/03,331894
28/10/03,359611
29/10/03,392698
30/10/03,381963
31/10/03,500091
3/11/03,306272
4/11/03,417305
5/11/03,423925
6/11/03,443343
7/11/03,360035
10/11/03,379949
11/11/03,588683
12/11/03,581648
13/11/03,381193
14/11/03,325492
17/11/03,290033
18/11/03,431197
19/11/03,472903
20/11/03,424758
21/11/03,351593
24/11/03,263845
25/11/03,328384
26/11/03,295654
27/11/03,329300
28/11/03,394406
1/12/03,253365
2/12/03,388433
3/12/03,340405
4/12/03,371769
5/12/03,322082
8/12/03,358154
9/12/03,388672
10/12/03,394896
11/12/03,387631
12/12/03,288451
15/12/03,388931
16/12/03,345394
17/12/03,390640
18/12/03,715911
19/12/03,707428
22/12/03,225843
23/12/03,611663
24/12/03,215426
29/12/03,160875
30/12/03,208587
31/12/03,142802
2/1/04,89103
5/1/04,232121
6/1/04,351902
7/1/04,372058
8/1/04,346799
9/1/04,410455
12/1/04,380189
13/1/04,512450
14/1/04,403120
15/1/04,421900
16/1/04,432975
19/1/04,485882
20/1/04,371362
21/1/04,444215
22/1/04,350781
